rep_new,policy_level,date,organisation,purpose,department,others_at_the_meeting,source,registrant_additional_information,portal_source,RecordId,tag
Neil Bibby MSP,MSP,11/07/2023,The Glenmorangie Company,Roundtable dinner discussion with Jackie Baillie MSP  Member for Dumbarton; Daniel Johnson MSP  Member for Edinburgh Southern; Anas Sarwar MSP  Member for Glasgow; Claire Baker MSP  Member for Mid Scotland and Fife; Michael Marra MSP  Member for North East Scotland; and Neil Bibby MSP  Member for West Scotland.  To inform the Members of The Glenmorangie Company's recent investments across Scotland  the ways in which the business is contributing to local communities  the company's environmental commitments  and the company's role in international trade and supporting apprenticeships.  Furthermore  to underline The Glenmorangie Company's commitment to responsible drinking and to communicate and seek understanding of the challenges facing the company as a rural business including transport and recruitment.  | Location: The Blenders Room The Scotch Whisky Experience 354 Castlehill Edinburgh EH1 2NE  | Type: Face to face,Scottish Parliament,"Jackie Baillie, Daniel Johnson, Anas Sarwar, Claire Baker, Michael Marra",https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49623,Type: None | Lobbyist names: Jenni Lang | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97498,
Sharon Dowey MSP,MSP,22/02/2024,ABTA - The Travel Association,Meeting with Sharon Dowey MSP  Member for South Scotland. To introduce ABTA and our members' priorities specifically what contribution our members make to the Scottish economy and current issues faced by our members. We discussed the local visitor levy  the proposed cruise ship tax and the short-term let licensing scheme. Furthermore  we discussed the EU's incoming Entry/Exit System and the European Travel Information and Authorisation System (ETIAS) and the Scottish Aviation Strategy. It was agreed that the Member would engage with the Scottish Government asking for updates on these areas. | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49618,Type: None | Lobbyist names: Oliver Clark; Julia Ogiehor | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97499,
Maree Todd MSP,Minister,12/12/2023,The Coalition of Carers in Scotland,Meeting with Maree Todd MSP  Minister for Social Care  Mental Wellbeing and Sport. To raise issues of concern in relation to support for unpaid carers in Scotland  advocating for timely  increased and targeted funding and improvement activity  with particular emphasis on investment in access to short breaks  resourcing of carers centres and support to enable carers to self identify at an early stage in their caring journey.  | Location: Scottish Parliment Edinburgh EH99 1SP  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49610,Type: Representative Body | Lobbyist names: Claire Cairns | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97500,
Maree Todd MSP,Minister,18/01/2024,The Coalition of Carers in Scotland,Video conference meeting with Maree Todd MSP  Minister for Social Care  Mental Wellbeing and Sport.  We raised the issues of concern in relation to: The development of the right to breaks from caring and 'Easy Access' breaks. We called for the Minister to increase funding in 2024/25 as had been originally planned; Challenges facing local carer centres  including insecure and inadequate funding and increasing referrals.  | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49607,Type: Representative Body | Lobbyist names: Claire Cairns | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97501,
Paul Sweeney MSP,MSP,27/09/2023,Place2Be,Video conference with Paul Sweeney MSP  Member for Glasgow. We introduced Place2Be and the services we deliver in schools  particularly in Glasgow  for children  young people  families and school staff and shared our ambition that all children should have access to in-school mental health support.   We also discussed our Initial Teacher Education partnerships and our work to support the delivery of the Promise to care experienced children and young people.  | Location: The Melting Pot 15 Calton Road Edinburgh EH8 8DL  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49603,Type: None | Lobbyist names: Liam Furby; Shaua Caskie | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97502,
Pam Duncan-Glancy MSP,MSP,16/01/2024,Place2Be,Video conference with Pam Duncan-Glancy MSP  Member for Glasgow. We introduced Place2Be and the services we deliver in schools for children  young people  families and school staff and shared our ambition that all children should have access to in-school mental health support.   We also discussed our Initial Teacher Education partnership with Edinburgh  Glasgow and Stirling Universities and shared our ambition for this programme to reach every student teacher in Scotland  as well as an extension of this into the early careers of teachers.   We updated the Member on our plans for Children's Mental Health Week and she offered to submit a motion to highlight this awareness week. | Location: The Melting Pot 15 Calton Road Edinburgh EH8 8DL  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49602,Type: None | Lobbyist names: Liam Furby; Catherine Henderson | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97503,
Fiona Hyslop MSP,Minister,11/07/2023,Aggregate Industries UK Limited,Discussion with Fiona Hyslop MSP  Minister for Transport at maritime reception run by British Ports Association & UK Chamber of Shipping.   We discussed Aggregate Industries UK Ltd  our operation at Glensanda Quarry north of Oban  and invited the Minister to visit the facility in order for her to see a major successful industry leader in the quarrying industry.   As the largest hard rock quarry in Europe with extensive export tonnages  we would like to showcase our facility to the Scottish Government  and demonstrate the supply opportunities we can provide. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49601,Type: None | Lobbyist names: Ian Henry | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97504,
Karen Adam MSP,MSP,02/08/2023,The Physiological Society,Discussion with Karen Adam MSP  Member for Banffshire and Buchan Coast  during a parliamentary event celebrating world-leading Scottish research. We discussed how Scotland's research environment will be crucial in meeting the United Nations Sustainable Development Goals (SDGs). We explained that physiology  as the science of life  will be a key part in the response to the targets posed by the SDGs. We lobbied the Minister on the success of Scotland's research in meeting the ambitions of the SDGs through funding for the Scottish Funding Council. We advocated for more funding to be made available for research into how we can better meet the SDGs through an improved understanding of human biology. | Location: Garden Lobby  Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49588,Type: None | Lobbyist names: Thomas Addison; Andrew Mackenzie; Shania Pande | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97505,Climate
Paul McLennan MSP,MSP,02/08/2023,The Physiological Society,Discussion with Paul McLennan MSP  Member for East Lothian  during a parliamentary event celebrating world-leading Scottish research. We discussed how Scotland's research environment will be crucial in meeting the United Nations Sustainable Development Goals (SDGs). We explained that physiology  as the science of life  will be a key part in the response to the targets posed by the SDGs. We lobbied the Minister on the success of Scotland's research in meeting the ambitions of the SDGs through funding for the Scottish Funding Council. We advocated for more funding to be made available for research into how we can better meet the SDGs through an improved understanding of human biology. | Location: Garden Lobby  Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49587,Type: None | Lobbyist names: Thomas Addison; Andrew Mackenzie; Shania Pande | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97506,Climate
Clare Adamson MSP,MSP,02/08/2023,The Physiological Society,Discussion with Clare Adamson MSP  Member for Motherwell and Wishaw  during a parliamentary event celebrating world-leading Scottish research. We discussed how Scotland's research environment will be crucial in meeting the United Nations Sustainable Development Goals (SDGs). We explained that physiology  as the science of life  will be a key part in the response to the targets posed by the SDGs. We lobbied the Minister on the success of Scotland's research in meeting the ambitions of the SDGs through funding for the Scottish Funding Council. We advocated for more funding to be made available for research into how we can better meet the SDGs through an improved understanding of human biology. | Location: Garden Lobby Scottish Parliament EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49586,Type: None | Lobbyist names: Thomas Addison; Andrew Mackenzie; Shania Pande | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97507,Climate
Maggie Chapman MSP,MSP,02/08/2023,The Physiological Society,Discussion with Maggie Chapman MSP  Member for North East Scotland  during a parliamentary event celebrating world-leading Scottish research. We discussed how Scotland's research environment will be crucial in meeting the United Nations Sustainable Development Goals (SDGs). We explained that physiology  as the science of life  will be a key part in the response to the targets posed by the SDGs. We lobbied the Minister on the success of Scotland's research in meeting the ambitions of the SDGs through funding for the Scottish Funding Council. We advocated for more funding to be made available for research into how we can better meet the SDGs through an improved understanding of human biology. | Location: Garden Lobby  Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49585,Type: None | Lobbyist names: Thomas Addison; Andrew Mackenzie; Shania Pande | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97508,Climate
Emily Mackintosh,Special Adviser,22/02/2024,TSB Bank plc,Conversation with Emily Mackintosh  Special Adviser. We discussed how the Scottish Government and banks can work together to help drive the transition to net zero by helping home owners make their homes more energy efficient. We also updated the Special Adviser on the latest trends we are seeing on fraud and the need for social media companies to do more to reduce fraud on their platforms.  | Location: Scottish Parliament  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49583,Type: None | Lobbyist names: Andrew McIntyre  | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97509,Climate
Daniel Johnson MSP,MSP,30/01/2024,TSB Bank plc,Conversation with Daniel Johnson MSP  Member for Edinburgh Southern  Michael Marra MSP  Member for North East Scotland  and Claire Baker MSP  Member for Mid Scotland and Fife  during a dinner.   We sought to hear the Members' views on the impact of the rising cost of living and how it was impacting their constituents. We explained the steps our organisation is taking to support customers  as well as updating on what we are seeing in the mortgage market.   We also highlighted our Domestic Abuse Flee Fund  which offers a payment of up to £500 for domestic abuse victims looking to escape an abusive relationship and our partnership with Lightning Reach which is helping eligible customers to maximise their income by being able to apply for range of benefits and payments through a single application.   | Location: Wedgwood 267 Canongate Edinburgh EH8 8BQ  | Type: Face to face,Scottish Parliament,"Michael Marra, Claire Baker",https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49582,Type: None | Lobbyist names: Andrew McIntyre; Mark Curran ; Gary Jones; Carol Anderson  | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97510,
Michael Marra MSP,MSP,30/01/2024,TSB Bank plc,Conversation with Daniel Johnson MSP  Member for Edinburgh Southern  Michael Marra MSP  Member for North East Scotland  and Claire Baker MSP  Member for Mid Scotland and Fife  during a dinner.   We sought to hear the Members' views on the impact of the rising cost of living and how it was impacting their constituents. We explained the steps our organisation is taking to support customers  as well as updating on what we are seeing in the mortgage market.   We also highlighted our Domestic Abuse Flee Fund  which offers a payment of up to £500 for domestic abuse victims looking to escape an abusive relationship and our partnership with Lightning Reach which is helping eligible customers to maximise their income by being able to apply for range of benefits and payments through a single application.   | Location: Wedgwood 267 Canongate Edinburgh EH8 8BQ  | Type: Face to face,Scottish Parliament,"Daniel Johnson, Claire Baker",https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49582,Type: None | Lobbyist names: Andrew McIntyre; Mark Curran ; Gary Jones; Carol Anderson  | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97511,
Claire Baker MSP,MSP,30/01/2024,TSB Bank plc,Conversation with Daniel Johnson MSP  Member for Edinburgh Southern  Michael Marra MSP  Member for North East Scotland  and Claire Baker MSP  Member for Mid Scotland and Fife  during a dinner.   We sought to hear the Members' views on the impact of the rising cost of living and how it was impacting their constituents. We explained the steps our organisation is taking to support customers  as well as updating on what we are seeing in the mortgage market.   We also highlighted our Domestic Abuse Flee Fund  which offers a payment of up to £500 for domestic abuse victims looking to escape an abusive relationship and our partnership with Lightning Reach which is helping eligible customers to maximise their income by being able to apply for range of benefits and payments through a single application.   | Location: Wedgwood 267 Canongate Edinburgh EH8 8BQ  | Type: Face to face,Scottish Parliament,"Daniel Johnson, Michael Marra",https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49582,Type: None | Lobbyist names: Andrew McIntyre; Mark Curran ; Gary Jones; Carol Anderson  | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97512,
Miles Briggs MSP,MSP,18/12/2023,Gilead Sciences Ltd,Video conference meeting with Miles Briggs MSP  Member for Lothian.   We informed the Member of Gilead Sciences' recent work to support the elimination of Hepatitis C (HCV)  and discussed the progress made towards these goals so far.  We underlined the need for further action  co-ordination and partnership to meet the Scottish Government's goals to eliminate HCV and end new HIV transmissions  as well as secure recognition of the role that the pharmaceutical industry (including Gilead) can play in realising  HCV targets.  | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49578,Type: None | Lobbyist names: David Weir | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97513,
Jenni Minto MSP,Minister,02/07/2024,Gilead Sciences Ltd,Video conference meeting with Jenni Minto MSP  Minister for Public Health and Women's Health.    We informed the Minister of Gilead Sciences' recent work to support the elimination of Hepatitis C (HCV) and the transmission of HIV  and discussed the progress made towards these goals so far.  We underlined the need for further action  co-ordination and partnership to meet the Scottish Government's goals to eliminate HCV and end new HIV transmissions  as well as secure recognition of the role that the pharmaceutical industry (including Gilead) can play in realising HIV and HCV targets.  | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49577,Type: None | Lobbyist names: David Weir; Peter Smethurst; Peter Shand | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97514,
John Mason MSP,MSP,20/02/2024,The Christian Institute,Meeting with John Mason MSP  Member for Glasgow Shettleston. We shared our concerns with the Scottish Government's consultation document on 'Ending Conversion Practices in Scotland'  particularly regarding the impact the legislative proposals could have on parental and religious freedoms. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49573,Type: Charity or Trust or Advocacy Body | Lobbyist names: Joanna Cook | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97515,
Stephen Kerr MSP,MSP,20/02/2024,The Christian Institute,Meeting with Stephen Kerr MSP  Member for Central Scotland. We shared our concerns with the Scottish Government's consultation document on 'Ending Conversion Practices in Scotland'  particularly regarding the impact the legislative proposals could have on parental and religious freedoms. | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49572,Type: Charity or Trust or Advocacy Body | Lobbyist names: Joanna Cook | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97516,
Michael Matheson MSP,Minister,22/11/2023,Royal College of Nursing Scotland ,Meeting with Michael Matheson MSP  Cabinet Secretary for NHS Recovery  Health and Social Care. We met with the Cabinet Secretary to discuss implementation of the Health and Care (Staffing) (Scotland) Act 2019  the work of the Nursing and Midwifery Taskforce  and the Agenda for Change review. We highlighted that our members' expectations that the review will deliver significant improvements are high and called for clarity on the timeline for agreeing the proposals. We emphasised that the Nursing and Midwifery Taskforce must produce long-term  sustainable actions and these must be fully funded.  | Location: Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49569,Type: None | Lobbyist names: Colin Poolman; Eileen Mckenna | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97517,
Richard Lochhead MSP,Minister,16/10/2023,The Investment Association,Meeting with Richard Lochhead MSP  Minister for Small Business  Innovation  Tourism and Trade.  A general introductory discussion with the Minister concerning the important role investment management plays in the broader Scottish economy and the conditions necessary to make Scotland an attractive destination for investment into the green transition.  Given the Minister's innovation brief  the discussion also included the our work on innovation in the industry  such as a description of our FinTech accelerator  Engine. As the trade body representing asset managers  it is our role to make sure politicians are briefed on the role our industry plays to try and make sure the needs of our members are taken into account when any related decisions are taken in due course.  | Location: The Event Complex Aberdeen East Burn Road Aberdeen AB21 9FX  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49568,Type: None | Lobbyist names: Jack Knight   | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97518,
Fulton MacGregor MSP,MSP,22/11/2023,Grayling Communications Ltd,Meeting with Fulton MacGregor MSP  Member for Coatbridge and Chryston.   Also in attendance were Nick Speed  Head of Nations & Regions  BT Group  and Rob McLean  Digital Inclusion Programme Officer  AbilityNet.   We provided the Member with an overview of BT Group and AbilityNet's partnership  detailing how the organisations are working together to tackle digital inclusion in Scotland and the UK. We particularly highlighted the Senior Skills Programme and discussed how the initiative has helped raise tech participation among the elderly in Scotland. We provided the Member with BT Group's latest data on digital exclusion and discussed BT Group's wider initiatives and related support for digital skills.   Alongside digital skills programme  we also highlighted the importance of BT Group's ongoing digital infrastructure investment and rollout of new networks in Scotland. We offered to address any connectivity issues in the Member's constituency.  | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49564,Type: None | Lobbyist names: Lena Brandesova | Entity lobbying on behalf of organisation: BT Group,Scottish lobbying register,97519,
Liam McArthur MSP,MSP,22/11/2023,Grayling Communications Ltd,Meeting with Liam McArthur MSP  Member for Orkney Islands.   Also in attendance were Nick Speed  Head of Nations & Regions  BT Group  and Rob McLean  Digital Inclusion Programme Officer  AbilityNet.   We provided the Member with an overview of BT Group and AbilityNet's partnership  detailing how the organisations are working together to tackle digital inclusion in Scotland and the UK. We particularly highlighted the Senior Skills Programme and discussed how the initiative has helped raise tech participation among the elderly in Scotland. We provided the Member with BT Group's latest data on digital exclusion and discussed BT Group's wider initiatives and related support for digital skills.   Alongside digital skills programme  we also highlighted the importance of BT Group's ongoing digital infrastructure investment and rollout of new networks in Scotland. We offered to address any connectivity issues in the Member's constituency  including plans for the Orkney Digital Forum hosted by the Member.  | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49563,Type: None | Lobbyist names: Lena Brandesova | Entity lobbying on behalf of organisation: BT Group,Scottish lobbying register,97520,
Paul O'Kane MSP,MSP,22/11/2023,Grayling Communications Ltd,Meeting with Paul O'Kane MSP  Member for West Scotland.   Also in attendance were Nick Speed  Head of Nations & Regions  BT Group  and Rob McLean  Digital Inclusion Programme Officer  AbilityNet.   We provided the Member with an overview of BT Group and AbilityNet's partnership  detailing how the organisations are working together to tackle digital inclusion in Scotland and the UK. We particularly highlighted the Senior Skills Programme and discussed how the initiative has helped raise tech participation among the elderly in Scotland. We provided the Member with BT Group's latest data on digital exclusion and discussed BT Group's wider initiatives and related support for digital skills.   Alongside digital skills programme  we also highlighted the importance of BT Group's ongoing digital infrastructure investment and rollout of new networks in Scotland. We offered to address any connectivity issues in the Member's region.  | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49562,Type: None | Lobbyist names: Lena Brandesova | Entity lobbying on behalf of organisation: BT Group,Scottish lobbying register,97521,
Jamie Greene MSP,MSP,22/11/2023,Grayling Communications Ltd,Meeting with Jamie Greene MSP  Member for West Scotland.  Also in attendance were Nick Speed  Head of Nations & Regions  BT Group  and Rob McLean  Digital Inclusion Programme Officer  AbilityNet.   We provided the Member with an overview of BT Group and AbilityNet's partnership  detailing how the organisations are working together to tackle digital inclusion in Scotland and the UK. We particularly highlighted the Senior Skills Programme and discussed how the initiative has helped raise tech participation among the elderly in Scotland. We provided the Member with BT Group's latest data on digital exclusion and discussed BT Group's wider initiatives and related support for digital skills.   Alongside digital skills programme  we also highlighted the importance of BT Group's ongoing digital infrastructure investment and rollout of new networks in Scotland. We offered to address any connectivity issues in the Member's region.  | Location: The Scottish Parliament Edinburgh EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49561,Type: None | Lobbyist names: Lena Brandesova | Entity lobbying on behalf of organisation: BT Group,Scottish lobbying register,97522,
Neil Gray MSP,Minister,15/10/2023,The Investment Association,Discussion with Neil Gray MSP  Cabinet Secretary for Wellbeing Economy  Fair Work and Energy  at SNP Party Conference. We held a general introductory discussion with the Cabinet Secretary concerning the important role investment management plays in the broader Scottish economy and the conditions necessary to make Scotland an attractive destination for investment into the green transition.  As the trade body representing asset managers  it is our role to make sure politicians are briefed on the role our industry plays to try and make sure the needs of our members are taken into account when any related decisions are taken in due course. | Location: The Event Complex Aberdeen East Burn Road Aberdeen AB21 9FX  | Type: Face to face,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49559,Type: None | Lobbyist names: Jack Knight and Karen Northey  | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97523,
Maree Todd MSP,Minister,02/05/2024,Royal College of Nursing Scotland ,Video conference meeting with Maree Todd MSP  Minister for Social Care  Mental Wellbeing and Sport. We discussed our concerns regarding the National Care Service (Scotland) Bill and what we feel is a lack of clarity around the scope of the National Care Service (NCS)  what services will be included and how it will operate. We called for professional and clinical nursing leadership to be embedded in the NCS and the Bill  and for the fair work provisions to be strengthened.  | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Government,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49556,Type: None | Lobbyist names: Colin Poolman; Eileen Mckenna; Niki Stark; Ross Sanderson | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97524,
Gillian Mackay MSP,MSP,26/02/2024,Royal College of Nursing Scotland ,Meeting with Gillian Mackay MSP  Member for Central Scotland. This meeting was arranged to discuss some of the Royal College of Nursing Scotland's key priorities  including the work of the Nursing and Midwifery Taskforce and implementation of the Health and Care (Staffing) (Scotland) Act 2019. We updated the member on the Agenda for Change Review and  during a discussion on safe staffing  highlighted concerns we've got around the calculations that sit within some of the key staffing level tools used in the Common Staffing Method.  We outlined our priorities for the Nursing and Midwifery Taskforce  including our call for an implementation board to oversee the implementation of the actions that come out of the Taskforce. We highlighted the need for nursing leadership to be clearly set out in the National Care Service (Scotland) Bill and for the Bill's fair work provisions to be strengthened. We also highlighted that we'd received some concerns regarding a motion that was passed at the Scottish Greens' conference which calls for a ban on behaviour modification practices.  | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49555,Type: None | Lobbyist names: Colin Poolman; Niki Stark | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97525,
John Mason MSP,MSP,21/02/2024,Social Enterprise Scotland,Meeting with John Mason MSP  Member for Glasgow Shettleston.    We sought to raise awareness of social enterprises  to promote social enterprises as a part of the Scottish economy rather than usually falling under the third sector economic input  to raise awareness of social enterprises amongst Members and their constituents and highlight the move of social enterprises into the economy section of the government rather than the third sector.    We discussed the support social enterprises receive and that it is world leading. We asked the Member to raise more awareness of social enterprises amongst the Parliament with staff and MSPs  through discussion  debates and visits to local social enterprises. We discussed the various business models that social enterprises can use to qualify as them  this being Inclusive Democratic Business Models. We thanked the Member for using our brief when debating about the public sector in Parliament and asked if there was going to be reform to the public sector that social enterprises could help with. We explained how businesses can qualify as social enterprises and asked for movement on the idea of having employees on the boards of businesses to create more democracy in our economy.  | Location: Scottish Parliament EH99 1SP  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49554,Type: Charity or Trust or Advocacy Body | Lobbyist names: Andy Paterson; Duncan Thorp | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97526,
Jackie Baillie MSP,MSP,02/05/2024,British Association of Social Workers ,Video conference meeting with Jackie Baillie MSP  Member for Dumbarton. To discuss the National Care Service (Scotland) Bill and to advocate our support for a National Social Work Agency within this piece of work.    To promote our campaign 'One Deal for Social Work' which asks that a national approach to pay and conditions for social workers should include: a dedicated local government job family for pay and conditions for social work; a consistent framework for pay that allows for rural weightings and short-term initiatives in areas that are hard to recruit to; pay recognition/pay enhancements for additional qualifications and responsibilities; a national maximum caseload with the expectation that cases are equally split between early support/standard/complex; a reduction in administrative burden to enable social workers to spend more time with people; reflective supervision from a qualified social worker every 6 weeks as a minimum  distinct from case supervision provided by a line manager; at least 5 days/35hrs formal training each year; flexible working that meets the needs of social workers and our communities; paid overtime if social workers need to do more than their contracted hours  in order to keep people safe.   | Location: Private Residence - Address Withheld  | Type: Video conference,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49541,Type: None | Lobbyist names: George Hannah; Frank Reilly | Entity lobbying on behalf of organisation: None,Scottish lobbying register,97527,
Monica Lennon MSP,MSP,17/02/2024,Quantum Communications,Discussion with Monica Lennon MSP  Member for Central Scotland  as part of the Fringe event on the cost-of-living crisis  hosted by Advice Direct Scotland at the Scottish Labour Party Conference.  We thanked the Member for attending and discussed how the Member could support Advice Direct Scotland to raise awareness of its services to provide people with free  practical advice on energy bills  debt  and consumer issues. | Location: Scottish Event Campus (SEC) Exhibition Way Glasgow G3 8YW  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49519,Type: None | Lobbyist names: Chloe Minish; Tom Martin | Entity lobbying on behalf of organisation: Advice Direct Scotland,Scottish lobbying register,97528,
Paul O'Kane MSP,MSP,17/02/2024,Quantum Communications,Discussion with Paul O'Kane MSP  Member for West Scotland  as part of the Fringe event on the cost-of-living crisis  hosted by Advice Direct Scotland at the Scottish Labour Party Conference.  We thanked the Member for attending and offered to assist with providing additional information on the Advice Direct Scotland campaign for social energy tariffs to be introduced to help those struggling with energy bills. | Location: Scottish Event Campus (SEC) Exhibition Way Glasgow G3 8YW  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49518,Type: None | Lobbyist names: Chloe Minish | Entity lobbying on behalf of organisation: Advice Direct Scotland,Scottish lobbying register,97529,
Jackie Baillie MSP,MSP,18/02/2024,Quantum Communications,Meeting with Jackie Baillie MSP  Member for Dumbarton  at the Scottish Labour Party Conference.  We introduced the Member to the CEO of Sistema Scotland  explained the role of Sistema Scotland  and encouraged the Member to support the charity's transformational work in disadvantaged communities in Scotland. | Location: Scottish Event Campus (SEC) Exhibition Way Glasgow G3 8YW  | Type: Face to face,Scottish Parliament,,https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49517,Type: None | Lobbyist names: Alan Roden | Entity lobbying on behalf of organisation: Sistema Scotland,Scottish lobbying register,97530,
Martin Whitfield MSP,MSP,18/02/2024,Quantum Communications,Meeting with Martin Whitfield MSP  Member for South Scotland  Paul Sweeney MSP  Member for Glasgow  and Pam Duncan-Glancy MSP  Member for Glasgow  at the Scottish Labour Party Conference.  We introduced the Members to the CEO of Sistema Scotland and the Big Noise Raploch programme participants and arranged a photo with the CEO and Members to promote the charity and its transformational work in disadvantaged communities in Scotland. | Location: Scottish Event Campus (SEC) Exhibition Way Glasgow G3 8YW  | Type: Face to face,Scottish Parliament,"Paul Sweeney, Pam Duncan-Glancy",https://www.lobbying.scot/SPS/InformationReturn/SearchInformationReturnDetail/49516,Type: None | Lobbyist names: Alan Roden; Kerry Mosson | Entity lobbying on behalf of organisation: Sistema Scotland,Scottish lobbying register,97531,
